Longitude,Latitude
-7.31479,54.61236
-6.22,54.62028
-6.00718,54.55562
-5.91637,54.5738
-5.67894,54.65319
-7.29806,54.58967
-5.89961,54.58914
-7.63407,54.34241
-6.65319,55.07252
-5.91995,54.64711
-6.25387,54.86359
-7.28265,55.01178
-5.94607,54.59901
-5.67066,54.64888
-6.02677,54.55236
-5.82218,54.71328
-6.07911,54.51601
-6.44942,54.42006
-6.02475,54.557
-5.66748,54.59422
-7.31996,54.99447
-6.04379,54.50639
-5.73569,54.5567
-5.95047,54.6659
-6.33636,54.46528
-6.51292,55.06936
-6.19551,54.72013
-6.15058,54.41618
